iter	Passed	Remaining
550	26455	21558
551	26487	21497
552	26535	21448
553	26574	21393
554	26608	21334
555	26649	21281
556	26692	21229
557	26740	21181
558	26779	21126
559	26811	21066
560	26845	21007
561	26885	20953
562	26917	20893
563	26949	20833
564	26983	20775
565	27019	20717
566	27054	20660
567	27098	20610
568	27142	20559
569	27177	20502
570	27225	20455
571	27271	20405
572	27306	20348
573	27338	20289
574	27388	20243
575	27423	20186
576	27457	20129
577	27505	20082
578	27541	20025
579	27578	19970
580	27628	19925
581	27677	19878
582	27723	19829
583	27758	19773
584	27800	19721
585	27834	19664
586	27873	19610
587	27904	19552
588	27953	19505
589	27987	19449
590	28020	19391
591	28064	19341
592	28098	19285
593	28130	19227
594	28176	19178
595	28223	19131
596	28256	19074
597	28293	19019
598	28331	18966
599	28366	18911
600	28423	18870
601	28459	18815
602	28504	18766
603	28538	18710
604	28574	18655
605	28614	18603
606	28649	18549
607	28693	18500
608	28754	18461
609	28787	18405
610	28837	18359
611	28870	18303
612	28902	18246
613	28949	18199
614	28984	18144
615	29029	18096
616	29063	18040
617	29096	17985
618	29130	17930
619	29170	17878
620	29215	17830
621	29260	17781
622	29303	17732
623	29350	17685
624	29383	17630
625	29426	17580
626	29463	17527
627	29509	17480
628	29543	17425
629	29577	17370
630	29618	17320
631	29664	17272
632	29713	17227
633	29746	17172
634	29794	17125
635	29828	17071
636	29863	17017
637	29908	16970
638	29948	16919
639	29982	16865
640	30016	16810
641	30047	16755
642	30082	16701
643	30123	16651
644	30155	16597
645	30188	16542
646	30221	16488
647	30261	16438
648	30293	16383
649	30327	16330
650	30374	16283
651	30407	16229
652	30440	16176
653	30480	16125
654	30514	16072
655	30548	16019
656	30593	15972
657	30643	15927
658	30678	15874
659	30710	15820
660	30742	15766
661	30786	15718
662	30821	15666
663	30863	15617
664	30899	15565
665	30933	15513
666	30973	15463
667	31009	15412
668	31073	15374
669	31123	15329
670	31171	15283
671	31231	15244
672	31273	15195
673	31311	15144
674	31356	15097
675	31419	15059
676	31468	15013
677	31541	14979
